
01 - 05     01 - 06     01 - 07     01 - 08
02 - 06     02 - 07     02 - 08     02 - 05
03 - 07     03 - 08     03 - 05     03 - 06
04 - 08     04 - 05     04 - 06     04 - 07

09 - 13     09 - 14     09 - 15     09 - 16
10 - 14     10 - 15     10 - 16     10 - 13
11 - 15     11 - 16     11 - 13     11 - 14
12 - 16     12 - 13     12 - 14     12 - 15

01 - 09     01 - 10     01 - 11     01 - 12
02 - 10     02 - 11     02 - 12     02 - 09
03 - 11     03 - 12     03 - 09     03 - 10
04 - 12     04 - 09     04 - 10     04 - 11

05 - 13     05 - 14     05 - 15     05 - 16
06 - 14     06 - 15     06 - 16     06 - 13
07 - 15     07 - 16     07 - 13     07 - 14
08 - 16     08 - 13     08 - 14     08 - 15

01 - 13     01 - 14     01 - 15     01 - 16
02 - 14     02 - 15     02 - 16     02 - 13
03 - 15     03 - 16     03 - 13     03 - 14
04 - 16     04 - 13     04 - 14     04 - 15

05 - 09     05 - 10     05 - 11     05 - 12
06 - 10     06 - 11     06 - 12     06 - 09
07 - 11     07 - 12     07 - 09     07 - 10
08 - 12     08 - 09     08 - 10     08 - 11



